"Policy issue","Message ATE (cue absent)","Message ATE (cue present)","Interaction"
"Abolish electoral college","-0.48 [-0.69 | -0.26]","-0.57 [-0.80 | -0.34]","-0.07 [-0.34 |  0.11]"
"Allow affirmative action","-0.30 [-0.48 | -0.12]","-0.32 [-0.52 | -0.14]","-0.03 [-0.18 |  0.14]"
"Allow assisted suicide","-0.46 [-0.67 | -0.26]","-0.54 [-0.78 | -0.33]","-0.06 [-0.29 |  0.10]"
"Allow death penalty","-0.36 [-0.55 | -0.19]","-0.39 [-0.57 | -0.19]","-0.02 [-0.18 |  0.13]"
"Allow enhanced interrogation","-0.34 [-0.52 | -0.16]","-0.37 [-0.56 | -0.18]","-0.03 [-0.19 |  0.12]"
"Allow religious denial of service","-0.39 [-0.58 | -0.21]","-0.39 [-0.58 | -0.19]","-0.01 [-0.16 |  0.18]"
"Amnesty for illegal immigrants","-0.25 [-0.44 | -0.05]","-0.25 [-0.44 | -0.05]","-0.01 [-0.18 |  0.18]"
"Ban juvenile solitary confinement","-0.30 [-0.48 | -0.11]","-0.33 [-0.51 | -0.14]","-0.03 [-0.18 |  0.13]"
"Decrease estate tax","-0.41 [-0.60 | -0.24]","-0.44 [-0.64 | -0.25]","-0.02 [-0.18 |  0.13]"
"Decrease foreign aid","-0.33 [-0.51 | -0.15]","-0.36 [-0.55 | -0.17]","-0.03 [-0.19 |  0.12]"
"Decrease power of labor unions","-0.16 [-0.36 |  0.07]","-0.18 [-0.39 |  0.04]","-0.02 [-0.18 |  0.16]"
"Deny criminals the vote","-0.39 [-0.57 | -0.21]","-0.43 [-0.63 | -0.23]","-0.04 [-0.20 |  0.13]"
"Illegal to burn U.S. flag","-0.23 [-0.40 | -0.03]","-0.27 [-0.45 | -0.07]","-0.04 [-0.21 |  0.11]"
"Increase capital gains tax","-0.30 [-0.47 | -0.12]","-0.31 [-0.49 | -0.13]","-0.02 [-0.16 |  0.14]"
"Increase tariffs on Chinese imports","-0.24 [-0.41 | -0.05]","-0.26 [-0.44 | -0.04]","-0.02 [-0.17 |  0.15]"
"Limit donations to candidates","-0.26 [-0.44 | -0.07]","-0.29 [-0.48 | -0.09]","-0.03 [-0.21 |  0.13]"
"Military aid to Saudi Arabia","-0.29 [-0.46 | -0.09]","-0.31 [-0.50 | -0.10]","-0.03 [-0.19 |  0.16]"
"Minimum sentences for drugs","-0.36 [-0.54 | -0.17]","-0.40 [-0.59 | -0.20]","-0.04 [-0.21 |  0.12]"
"More restrictions at U.S. border","-0.43 [-0.64 | -0.25]","-0.46 [-0.67 | -0.26]","-0.03 [-0.19 |  0.14]"
"Private pensions for public workers","-0.29 [-0.46 | -0.09]","-0.31 [-0.50 | -0.11]","-0.02 [-0.17 |  0.16]"
"Privatization of veterans' healthcare","-0.47 [-0.69 | -0.29]","-0.52 [-0.73 | -0.33]","-0.04 [-0.22 |  0.11]"
"Require women on boards","-0.25 [-0.43 | -0.06]","-0.25 [-0.44 | -0.06]","-0.01 [-0.16 |  0.17]"
"Require work for Medicaid","-0.38 [-0.58 | -0.21]","-0.41 [-0.60 | -0.22]","-0.03 [-0.18 |  0.13]"
"Subsidized healthcare for immigrants","-0.26 [-0.45 | -0.06]","-0.25 [-0.45 | -0.04]"," 0.00 [-0.17 |  0.21]"
