"Covariate","Parameter","Model","Subgroup value","Estimate","Lower 95% HPDI","Upper 95% HPDI"
"Age","Message ATE","Subgroup","Lowest Tertile","-0.18","-0.31","-0.05"
"Age","Message ATE","Subgroup","Highest Tertile","-0.48","-0.62","-0.34"
"Age","Message ATE","Difference",NA,"-0.11","-0.18","-0.03"
"Age","Change in ATE under Party Cue","Subgroup","Lowest Tertile","-0.07","-0.26"," 0.10"
"Age","Change in ATE under Party Cue","Subgroup","Highest Tertile"," 0.05","-0.13"," 0.23"
"Age","Change in ATE under Party Cue","Difference",NA," 0.04","-0.06"," 0.15"
"Cue Environment","Message ATE","Subgroup","One-sided cue","-0.30","-0.41","-0.20"
"Cue Environment","Message ATE","Subgroup","Two-sided cue","-0.36","-0.48","-0.24"
"Cue Environment","Message ATE","Difference",NA,"-0.06","-0.21"," 0.08"
"Cue Environment","Change in ATE under Party Cue","Subgroup","One-sided cue","-0.06","-0.21"," 0.09"
"Cue Environment","Change in ATE under Party Cue","Subgroup","Two-sided cue"," 0.01","-0.14"," 0.16"
"Cue Environment","Change in ATE under Party Cue","Difference",NA," 0.07","-0.14"," 0.27"
"Educational Attainment","Message ATE","Subgroup","No College Degree","-0.32","-0.43","-0.22"
"Educational Attainment","Message ATE","Subgroup","College Degree","-0.34","-0.48","-0.21"
"Educational Attainment","Message ATE","Difference",NA,"-0.01","-0.17"," 0.13"
"Educational Attainment","Change in ATE under Party Cue","Subgroup","No College Degree"," 0.02","-0.11"," 0.16"
"Educational Attainment","Change in ATE under Party Cue","Subgroup","College Degree","-0.09","-0.26"," 0.07"
"Educational Attainment","Change in ATE under Party Cue","Difference",NA,"-0.12","-0.32"," 0.10"
"Gender","Message ATE","Subgroup","Not Female","-0.26","-0.38","-0.14"
"Gender","Message ATE","Subgroup","Female","-0.40","-0.52","-0.29"
"Gender","Message ATE","Difference",NA,"-0.14","-0.29"," 0.02"
"Gender","Change in ATE under Party Cue","Subgroup","Not Female","-0.09","-0.24"," 0.06"
"Gender","Change in ATE under Party Cue","Subgroup","Female"," 0.04","-0.10"," 0.18"
"Gender","Change in ATE under Party Cue","Difference",NA," 0.13","-0.07"," 0.33"
"Partisan Identity","Message ATE","Subgroup","Biden-Democrat","-0.35","-0.45","-0.24"
"Partisan Identity","Message ATE","Subgroup","Trump-Republican","-0.29","-0.41","-0.16"
"Partisan Identity","Message ATE","Difference",NA," 0.06","-0.10"," 0.22"
"Partisan Identity","Change in ATE under Party Cue","Subgroup","Biden-Democrat","-0.02","-0.15"," 0.11"
"Partisan Identity","Change in ATE under Party Cue","Subgroup","Trump-Republican","-0.05","-0.19"," 0.10"
"Partisan Identity","Change in ATE under Party Cue","Difference",NA,"-0.03","-0.23"," 0.17"
"Political Knowledge","Message ATE","Subgroup","Lowest Tertile","-0.25","-0.38","-0.12"
"Political Knowledge","Message ATE","Subgroup","Highest Tertile","-0.42","-0.56","-0.28"
"Political Knowledge","Message ATE","Difference",NA,"-0.08","-0.16","-0.01"
"Political Knowledge","Change in ATE under Party Cue","Subgroup","Lowest Tertile","-0.08","-0.26"," 0.10"
"Political Knowledge","Change in ATE under Party Cue","Subgroup","Highest Tertile"," 0.11","-0.06"," 0.28"
"Political Knowledge","Change in ATE under Party Cue","Difference",NA," 0.10","-0.01"," 0.20"
"Strength of Partisanship","Message ATE","Subgroup","Not Strong Partisan","-0.39","-0.51","-0.28"
"Strength of Partisanship","Message ATE","Subgroup","Strong Partisan","-0.28","-0.39","-0.17"
"Strength of Partisanship","Message ATE","Difference",NA," 0.12","-0.02"," 0.27"
"Strength of Partisanship","Change in ATE under Party Cue","Subgroup","Not Strong Partisan"," 0.05","-0.09"," 0.20"
"Strength of Partisanship","Change in ATE under Party Cue","Subgroup","Strong Partisan","-0.08","-0.23"," 0.07"
"Strength of Partisanship","Change in ATE under Party Cue","Difference",NA,"-0.12","-0.35"," 0.10"
