"Parameter group","Parameter","Estimate","Std. Error","Lower 95% HPDI","Upper 95% HPDI","Effective Samples","Rhat"
"Fixed effects","Intercept"," 4.40","0.09"," 4.22"," 4.56",1337,"1.00"
"Fixed effects","Cue"," 0.47","0.05"," 0.39"," 0.57",4447,"1.00"
"Fixed effects","Message","-0.33","0.05","-0.42","-0.24",5686,"1.00"
"Fixed effects","Message x Cue","-0.03","0.05","-0.13"," 0.08",8000,"1.00"
"Random effects (policy issues)","SD(Intercept)"," 0.41","0.07"," 0.30"," 0.55",2418,"1.00"
"Random effects (policy issues)","SD(Cue)"," 0.13","0.04"," 0.06"," 0.22",3480,"1.00"
"Random effects (policy issues)","SD(Message x Cue)"," 0.05","0.04"," 0.00"," 0.15",3540,"1.00"
"Random effects (policy issues)","SD(Message)"," 0.13","0.05"," 0.04"," 0.23",2532,"1.00"
"Random effects (policy issues)","Corr(Intercept | Cue)","-0.64","0.19","-0.94","-0.24",8000,"1.00"
"Random effects (policy issues)","Corr(Intercept | Message x Cue)"," 0.21","0.36","-0.54"," 0.81",8000,"1.00"
"Random effects (policy issues)","Corr(Intercept | Message)"," 0.23","0.25","-0.28"," 0.71",8000,"1.00"
"Random effects (policy issues)","Corr(Cue | Message x Cue)","-0.18","0.37","-0.81"," 0.57",8000,"1.00"
"Random effects (policy issues)","Corr(Message | Cue)"," 0.06","0.30","-0.55"," 0.60",4834,"1.00"
"Random effects (policy issues)","Corr(Message | Message x Cue)","-0.02","0.37","-0.69"," 0.69",8000,"1.00"
"Residual","sigma"," 1.79","0.01"," 1.77"," 1.81",647,"1.00"
