2026-08-17 01:12:46,753 | INFO     | main:617 | ================================================================================
2026-08-17 01:12:46,753 | INFO     | main:618 | SILICON SAMPLE BENCHMARK: OUTCOME GENERATION
2026-08-17 01:12:46,753 | INFO     | main:619 | ================================================================================
2026-08-17 01:12:46,753 | INFO     | main:620 | Profile pool: /projects/p32143/silicon-sample-submission/synthetic_profiles/profiles_pool.csv
2026-08-17 01:12:46,753 | INFO     | main:621 | Model: /projects/p32143/cache/qwen36_27b
2026-08-17 01:12:46,753 | INFO     | main:622 | Batch size: 32
2026-08-17 01:12:46,753 | INFO     | main:623 | Temperature: 0.5
2026-08-17 01:12:46,753 | INFO     | main:624 | Seed: 2026
2026-08-17 01:12:46,753 | INFO     | main:625 | Output directory: ../raw_data_deposit
2026-08-17 01:12:46,753 | INFO     | main:628 | Loading profile pool...
2026-08-17 01:12:46,789 | INFO     | main:632 | Loaded 9000 profiles
2026-08-17 01:12:46,789 | INFO     | main:639 | Initializing vLLM engine (this may take a few moments)...
2026-08-17 01:15:48,119 | INFO     | main:649 | vLLM engine initialized
2026-08-17 01:15:48,120 | INFO     | main:662 | Processing 9000 profiles in batches of 32...
2026-08-17 01:15:49,024 | INFO     | main:670 | Processing batch 1/282 (32 profiles)...
2026-08-17 01:16:36,965 | DEBUG    | main:744 |   Processed 5/32 in batch 1
2026-08-17 01:16:36,966 | DEBUG    | main:744 |   Processed 10/32 in batch 1
2026-08-17 01:16:36,966 | DEBUG    | main:744 |   Processed 15/32 in batch 1
2026-08-17 01:16:36,966 | DEBUG    | main:744 |   Processed 20/32 in batch 1
2026-08-17 01:16:36,967 | DEBUG    | main:744 |   Processed 25/32 in batch 1
2026-08-17 01:16:36,967 | DEBUG    | main:744 |   Processed 30/32 in batch 1
2026-08-17 01:16:36,967 | INFO     | main:670 | Processing batch 2/282 (32 profiles)...
2026-08-17 01:17:20,824 | DEBUG    | main:744 |   Processed 5/32 in batch 2
2026-08-17 01:17:20,825 | DEBUG    | main:744 |   Processed 10/32 in batch 2
2026-08-17 01:17:20,825 | DEBUG    | main:744 |   Processed 15/32 in batch 2
2026-08-17 01:17:20,826 | DEBUG    | main:744 |   Processed 20/32 in batch 2
2026-08-17 01:17:20,826 | DEBUG    | main:744 |   Processed 25/32 in batch 2
2026-08-17 01:17:20,826 | DEBUG    | main:744 |   Processed 30/32 in batch 2
2026-08-17 01:17:20,826 | INFO     | main:670 | Processing batch 3/282 (32 profiles)...
2026-08-17 01:18:04,213 | DEBUG    | main:744 |   Processed 5/32 in batch 3
2026-08-17 01:18:04,213 | DEBUG    | main:744 |   Processed 10/32 in batch 3
2026-08-17 01:18:04,214 | DEBUG    | main:744 |   Processed 15/32 in batch 3
2026-08-17 01:18:04,214 | DEBUG    | main:744 |   Processed 20/32 in batch 3
2026-08-17 01:18:04,214 | DEBUG    | main:744 |   Processed 25/32 in batch 3
2026-08-17 01:18:04,215 | DEBUG    | main:744 |   Processed 30/32 in batch 3
2026-08-17 01:18:04,215 | INFO     | main:670 | Processing batch 4/282 (32 profiles)...
2026-08-17 01:18:47,393 | DEBUG    | main:744 |   Processed 5/32 in batch 4
2026-08-17 01:18:47,393 | DEBUG    | main:744 |   Processed 10/32 in batch 4
2026-08-17 01:18:47,394 | DEBUG    | main:744 |   Processed 15/32 in batch 4
2026-08-17 01:18:47,394 | DEBUG    | main:744 |   Processed 20/32 in batch 4
2026-08-17 01:18:47,394 | DEBUG    | main:744 |   Processed 25/32 in batch 4
2026-08-17 01:18:47,395 | DEBUG    | main:744 |   Processed 30/32 in batch 4
2026-08-17 01:18:47,395 | INFO     | main:670 | Processing batch 5/282 (32 profiles)...
2026-08-17 01:19:30,448 | DEBUG    | main:744 |   Processed 5/32 in batch 5
2026-08-17 01:19:30,449 | DEBUG    | main:744 |   Processed 10/32 in batch 5
2026-08-17 01:19:30,449 | DEBUG    | main:744 |   Processed 15/32 in batch 5
2026-08-17 01:19:30,449 | DEBUG    | main:744 |   Processed 20/32 in batch 5
2026-08-17 01:19:30,450 | DEBUG    | main:744 |   Processed 25/32 in batch 5
2026-08-17 01:19:30,450 | DEBUG    | main:744 |   Processed 30/32 in batch 5
2026-08-17 01:19:30,452 | INFO     | main:670 | Processing batch 6/282 (32 profiles)...
2026-08-17 01:20:13,565 | DEBUG    | main:744 |   Processed 5/32 in batch 6
2026-08-17 01:20:13,566 | DEBUG    | main:744 |   Processed 10/32 in batch 6
2026-08-17 01:20:13,566 | DEBUG    | main:744 |   Processed 15/32 in batch 6
2026-08-17 01:20:13,566 | DEBUG    | main:744 |   Processed 20/32 in batch 6
2026-08-17 01:20:13,567 | DEBUG    | main:744 |   Processed 25/32 in batch 6
2026-08-17 01:20:13,567 | DEBUG    | main:744 |   Processed 30/32 in batch 6
2026-08-17 01:20:13,567 | INFO     | main:670 | Processing batch 7/282 (32 profiles)...
2026-08-17 01:20:56,639 | DEBUG    | main:744 |   Processed 5/32 in batch 7
2026-08-17 01:20:56,639 | DEBUG    | main:744 |   Processed 10/32 in batch 7
2026-08-17 01:20:56,640 | DEBUG    | main:744 |   Processed 15/32 in batch 7
2026-08-17 01:20:56,640 | DEBUG    | main:744 |   Processed 20/32 in batch 7
2026-08-17 01:20:56,641 | DEBUG    | main:744 |   Processed 25/32 in batch 7
2026-08-17 01:20:56,641 | DEBUG    | main:744 |   Processed 30/32 in batch 7
2026-08-17 01:20:56,641 | INFO     | main:670 | Processing batch 8/282 (32 profiles)...
2026-08-17 01:21:39,778 | DEBUG    | main:744 |   Processed 5/32 in batch 8
2026-08-17 01:21:39,779 | DEBUG    | main:744 |   Processed 10/32 in batch 8
2026-08-17 01:21:39,779 | DEBUG    | main:744 |   Processed 15/32 in batch 8
2026-08-17 01:21:39,779 | DEBUG    | main:744 |   Processed 20/32 in batch 8
2026-08-17 01:21:39,780 | DEBUG    | main:744 |   Processed 25/32 in batch 8
2026-08-17 01:21:39,780 | DEBUG    | main:744 |   Processed 30/32 in batch 8
2026-08-17 01:21:39,780 | INFO     | main:670 | Processing batch 9/282 (32 profiles)...
2026-08-17 01:22:22,855 | DEBUG    | main:744 |   Processed 5/32 in batch 9
2026-08-17 01:22:22,855 | DEBUG    | main:744 |   Processed 10/32 in batch 9
2026-08-17 01:22:22,856 | DEBUG    | main:744 |   Processed 15/32 in batch 9
2026-08-17 01:22:22,856 | DEBUG    | main:744 |   Processed 20/32 in batch 9
2026-08-17 01:22:22,856 | DEBUG    | main:744 |   Processed 25/32 in batch 9
2026-08-17 01:22:22,857 | DEBUG    | main:744 |   Processed 30/32 in batch 9
2026-08-17 01:22:22,857 | INFO     | main:670 | Processing batch 10/282 (32 profiles)...
2026-08-17 01:23:05,967 | DEBUG    | main:744 |   Processed 5/32 in batch 10
2026-08-17 01:23:05,968 | DEBUG    | main:744 |   Processed 10/32 in batch 10
2026-08-17 01:23:05,968 | DEBUG    | main:744 |   Processed 15/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 20/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 25/32 in batch 10
2026-08-17 01:23:05,969 | DEBUG    | main:744 |   Processed 30/32 in batch 10
2026-08-17 01:23:05,969 | INFO     | main:670 | Processing batch 11/282 (32 profiles)...
2026-08-17 01:23:49,113 | DEBUG    | main:744 |   Processed 5/32 in batch 11
