profile_id,condition,gender,age_band,race,education,income,party,state
p00000,control,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,California
p00001,control,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Republican,California
p00002,control,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,Pennsylvania
p00003,control,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Alabama
p00004,control,Male,60+,Other,High school diploma / GED,"$30,000 to $55,999",Republican,Georgia
p00005,control,Female,60+,Hispanic / Latino,Doctorate degree / Ph.D.,"Less than $30,000",Independent,New York
p00006,control,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,California
p00007,control,Male,45-59,Black / African American,Bachelor's degree,"$100,000 to $167,999",Republican,Texas
p00008,control,Female,45-59,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,Kentucky
p00009,control,Male,30-44,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Democrat,Illinois
p00010,control,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Pennsylvania
p00011,control,Female,60+,Other,Some college or Associate's degree,"$100,000 to $167,999",Independent,North Carolina
p00012,control,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Missouri
p00013,control,Female,45-59,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican,Delaware
p00014,control,Female,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Vermont
p00015,control,Female,18-29,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,Arizona
p00016,control,Male,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Republican,Ohio
p00017,control,Male,45-59,Black / African American,Bachelor's degree,"Less than $30,000",Republican,Arizona
p00018,control,Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Other,Massachusetts
p00019,control,Male,45-59,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Other,New Hampshire
p00020,control,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,Hawaii
p00021,control,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Kentucky
p00022,control,Female,45-59,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,Georgia
p00023,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Texas
p00024,control,Male,60+,White / Caucasian,Doctorate degree / Ph.D.,"Less than $30,000",Republican,Missouri
p00025,control,Male,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Tennessee
p00026,control,Male,60+,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Independent,Washington
p00027,control,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Pennsylvania
p00028,control,Male,30-44,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Democrat,Massachusetts
p00029,control,Male,18-29,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Ohio
p00030,control,Male,30-44,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Other,Indiana
p00031,control,Female,30-44,White / Caucasian,Less than high school,"Less than $30,000",Democrat,Texas
p00032,control,Female,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Arizona
p00033,control,Female,45-59,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Democrat,New Jersey
p00034,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Illinois
p00035,control,Female,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,New Jersey
p00036,control,Female,18-29,Hispanic / Latino,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,Colorado
p00037,control,Male,60+,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,California
p00038,control,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Michigan
p00039,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,South Carolina
p00040,control,Female,45-59,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,Florida
p00041,control,Male,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,Illinois
p00042,control,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Texas
p00043,control,Female,30-44,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Other,Illinois
p00044,control,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,New Jersey
p00045,control,Female,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Missouri
p00046,control,Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,Illinois
p00047,control,Male,60+,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Democrat,Kansas
p00048,control,Female,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,Maryland
p00049,control,Female,60+,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Democrat,California
p00050,control,Female,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,New Jersey
p00051,control,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Indiana
p00052,control,Male,18-29,White / Caucasian,Less than high school,"$168,000 or more",Republican,Washington
p00053,control,Female,45-59,Black / African American,High school diploma / GED,"$30,000 to $55,999",Republican,Illinois
p00054,control,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Texas
p00055,control,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,Kentucky
p00056,control,Female,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,Tennessee
p00057,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,California
p00058,control,Male,30-44,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Republican,California
p00059,control,Female,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Democrat,Michigan
p00060,control,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Colorado
p00061,control,Male,60+,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Independent,Colorado
p00062,control,Female,45-59,Asian / Asian American,Bachelor's degree,"Less than $30,000",Other,Nevada
p00063,control,Male,45-59,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,Maryland
p00064,control,Female,60+,Other,Some college or Associate's degree,"Less than $30,000",Republican,California
p00065,control,Other,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,California
p00066,control,Male,60+,Asian / Asian American,High school diploma / GED,"Less than $30,000",Republican,Mississippi
p00067,control,Male,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,California
p00068,control,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,California
p00069,control,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,Alabama
p00070,control,Female,60+,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Independent,Montana
p00071,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Arkansas
p00072,control,Female,45-59,Other,Some college or Associate's degree,"$100,000 to $167,999",Republican,Florida
p00073,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Other,Minnesota
p00074,control,Female,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Virginia
p00075,control,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Republican,Oklahoma
p00076,control,Male,30-44,Black / African American,Doctorate degree / Ph.D.,"$168,000 or more",Other,Alabama
p00077,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,California
p00078,control,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Pennsylvania
p00079,control,Male,30-44,Asian / Asian American,Less than high school,"Less than $30,000",Republican,Maryland
p00080,control,Male,18-29,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,Florida
p00081,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,Louisiana
p00082,control,Male,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Pennsylvania
p00083,control,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Virginia
p00084,control,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Illinois
p00085,control,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,California
p00086,control,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Texas
p00087,control,Female,30-44,Black / African American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,Indiana
p00088,control,Female,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,California
p00089,control,Female,30-44,Black / African American,Bachelor's degree,"$168,000 or more",Independent,Illinois
p00090,control,Female,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Republican,Massachusetts
p00091,control,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,North Carolina
p00092,control,Female,30-44,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Independent,North Carolina
